x	y	z
14.6	-15.1	-5.4
13.2	-15.1	-7.2
11.7	-15.1	-8.7
9.1	-12.6	-8.7
11.7	-12.6	-7.5
13.2	-12.6	-5.1
7.9	-9.4	-10.3
10.0	-10.1	-7.8
