x	y	z
1.459999999999999964e+01	-1.509999999999999964e+01	-5.400000000000000355e+00
1.319999999999999929e+01	-1.509999999999999964e+01	-7.200000000000000178e+00
1.169999999999999929e+01	-1.509999999999999964e+01	-8.699999999999999289e+00
9.099999999999999645e+00	-1.259999999999999964e+01	-8.699999999999999289e+00
1.169999999999999929e+01	-1.259999999999999964e+01	-7.500000000000000000e+00
1.319999999999999929e+01	-1.259999999999999964e+01	-5.099999999999999645e+00
7.900000000000000355e+00	-9.400000000000000355e+00	-1.030000000000000071e+01
1.000000000000000000e+01	-1.009999999999999964e+01	-7.799999999999999822e+00
