Var1,Var2,Var3
id,intensity,label
132,0.0462451265955364,RetroSplenial_Complex_L
133,0.0141992486135014,Area_ventral_23_a+b_L
134,0.0689386366822571,Area_10r_L
135,-0.088945071521898,Area_10v_L
136,0.358259221997851,Area_25_L
137,0.0986183314299434,Area_33_prime_L
138,0.0689287028435455,Area_8BM_L
139,-0.00465242462032316,Area_9_Middle_L
140,0.0462487556045312,Area_a24_L
141,0.086044475970339,Anterior_24_prime_L
142,0.092446590797587,Area_anterior_32_prime_L
143,0.10101801931042,Area_dorsal_32_L
144,0.0512032581764797,Area_posterior_24_L
145,0.0863240342023986,Area_Posterior_24_prime_L
146,0.119498268460216,Area_p32_L
147,0.115258249147618,Area_p32_prime_L
148,0.282943026242097,Posterior_OFC_Complex_L
149,0.0791063496368068,Area_s32_L
150,-0.0115998259859398,Area_10d_L
151,-0.0311212564239574,Polar_10p_L
152,0.139884127861769,Area_11l_L
153,0.189674279292506,Area_13l_L
154,0.186881422465003,Area_47m_L
155,0.0494508166537868,Area_47s_L
156,0.130214476163949,Area_anterior_10p_L
157,-0.0665421965102085,Orbital_Frontal_Complex_L
158,0.0681260137276069,Area_posterior_10p_L
159,0.142091067607306,Area_44_L
160,0.114244708787971,Area_45_L
161,0.0885205277347079,Area_47l_(47_lateral)_L
162,0.126591149558941,Area_anterior_47r_L
163,0.173091033738296,Area_IFJa_L
164,0.206712227625151,Area_IFJp_L
165,0.171382609444322,Area_IFSa_L
166,0.167925682554125,Area_IFSp_L
167,0.168064717126096,Area_posterior_47r_L
168,0.0915822474891832,Area_46_L
169,0.178076014453265,Area_8Ad_L
170,0.027135859901862,Area_8Av_L
171,-0.0409089992317388,Area_8B_Lateral_L
172,0.147018409141361,Area_8C_L
173,0.111943529569749,Area_9-46d_L
174,0.0286048424693555,Area_9_anterior_L
175,0.0626562966476371,Area_9_Posterior_L
176,0.0706659247410918,Area_anterior_9-46v_L
177,0.0359365918174388,Inferior_6-8_Transitional_Area_L
178,0.104803408650309,Area_posterior_9-46v_L
179,0.0369407679956381,Superior_6-8_Transitional_Area_L
180,-0.0511027221261891,Superior_Frontal_Language_Area_L
181,0.0773830138686299,Primary_Visual_Cortex_R
182,0.0459594635998919,Second_Visual_Area_R
183,0.064879010504814,Third_Visual_Area_R
184,0.116384305529471,Fourth_Visual_Area_R
185,0.119190511240491,IntraParietal_Sulcus_Area_1_R
186,0.088052066045506,Area_V3A_R
187,0.187959233872215,Area_V3B_R
188,0.142635170586482,Sixth_Visual_Area_R
189,0.0472132651533739,Area_V6A_R
190,0.077605845039289,Seventh_Visual_Area_R
191,0.0441238557724591,Fusiform_Face_Complex_R
192,0.0283641642456623,Posterior_InferoTemporal_complex_R
193,0.106024289043184,Eighth_Visual_Area_R
194,0.0608645227542115,VentroMedial_Visual_Area_1_R
195,0.122323231904488,VentroMedial_Visual_Area_2_R
196,0.112782677938913,VentroMedial_Visual_Area_3_R
197,0.0371165212285102,Ventral_Visual_Complex_R
198,0.093445286937241,Area_FST_R
199,0.111467938235734,Area_Lateral_Occipital_1_R
200,0.00979516869654226,Area_Lateral_Occipital_2_R
201,0.12815123669653,Area_Lateral_Occipital_3_R
202,0.105949977346016,Medial_Superior_Temporal_Area_R
203,0.0727782904081332,Middle_Temporal_Area_R
204,0.0595422945753562,Area_PH_R
205,0.0853136005784862,Area_V3CD_R
206,0.0289389267498109,Area_V4t_R
207,-0.0861882381014357,Area_1_R
208,0.116234977120779,Area_2_R
209,0.18105910440409,Area_3a_R
210,0.0668799895475533,Primary_Sensory_Cortex_R
211,0.106708386294688,Primary_Motor_Cortex_R
212,0.166233464350717,Area_23c_R
213,0.133318965875788,Dorsal_Area_24d_R
214,0.13545535563086,Ventral_Area_24d_R
215,-0.0174889085511387,Area_5L_R
216,0.0999911973479056,Area_5m_R
217,0.167287600302055,Area_5m_ventral_R
218,-0.0519920833170251,Area_6m_anterior_R
219,0.1018402936174,Area_6mp_R
220,0.088458446782147,Supplementary_and_Cingulate_Eye_Field_R
221,-0.00267457827465474,Area_55b_R
222,0.182245136453097,Area_6_anterior_R
223,0.00639138704454914,Dorsal_area_6_R
224,0.0506090164015313,Rostral_Area_6_R
225,-0.0621494221918778,Ventral_Area_6_R
226,0.0574413377827018,Frontal_Eye_Fields_R
227,0.154666427588786,Premotor_Eye_Field_R
228,0.0290097953394806,Area_43_R
229,0.0681568783681186,Frontal_Opercular_Area_1_R
230,0.152891999176606,Area_OP1-SII_R
231,0.191928340056253,Area_OP2-3-VS_R
232,0.0407490645511224,Area_OP4-PV_R
233,0.276891080739683,Area_52_R
234,0.0998702735626069,Primary_Auditory_Cortex_R
235,0.111246316343314,Lateral_Belt_Complex_R
236,0.101689600253345,Medial_Belt_Complex_R
237,0.0645405193563262,ParaBelt_Complex_R
238,0.162274360388317,Area_PFcm_R
239,0.16479913507221,RetroInsular_Cortex_R
240,-0.0870678983041191,Auditory_4_Complex_R
241,-0.0289711040264905,Auditory_5_Complex_R
242,-0.111205675716184,Area_STGa_R
243,0.0522270606437321,Area_STSd_anterior_R
244,0.140133670658846,Area_STSd_posterior_R
245,0.0822627931799568,Area_STSv_anterior_R
246,0.0784399556174271,Area_STSv_posterior_R
247,-0.0814507878760664,Area_TA2_R
248,0.14616082324126,Anterior_Agranular_Insula_Complex_R
249,0.27671657704585,Anterior_Ventral_Insular_Area_R
250,0.2607647943,Frontal_Opercular_Area_2_R
251,0.585905116888716,Frontal_Opercular_Area_3_R
252,0.195104991854529,Frontal_Opercular_Area_4_R
253,0.159711721368925,Area_Frontal_Opercular_5_R
254,0.344079224000181,Insular_Granular_Complex_R
255,0.439986531113213,Middle_Insular_Area_R
256,0.0874678415777989,Para-Insular_Area_R
257,0.202997303676632,Pirform_Cortex_R
258,0.54736718008189,Area_Posterior_Insular_1_R
259,0.452595220267801,Posterior_Insular_Area_2_R
260,0.0618842638664883,Hippocampus_R
261,-0.0614620923934684,PreSubiculum_R
262,-0.0712617808143124,Entorhinal_Cortex_R
263,-0.0267723412438236,Perirhinal_Ectorhinal_Cortex_R
264,-0.0377113753089011,Area_TF_R
265,-0.00984646073258197,ParaHippocampal_Area_1_R
266,0.148106713519563,ParaHippocampal_Area_2_R
267,0.115798055878699,ParaHippocampal_Area_3_R
268,0.00799431984858721,Area_PHT_R
269,-0.0303604490658838,Area_TE1_anterior_R
270,-0.0286191283730821,Area_TE1_Middle_R
271,-0.0220898369532222,Area_TE1_posterior_R
272,-0.0538345960713393,Area_TE2_anterior_R
273,0.0657547214132807,Area_TE2_posterior_R
274,0.0312585330317038,Area_TG_dorsal_R
275,-0.000316309488526982,Area_TG_Ventral_R
276,-0.0447741724988832,PeriSylvian_Language_Area_R
277,0.0472242563942434,Superior_Temporal_Visual_Area_R
278,0.0986600556586329,Area_TemporoParietoOccipital_Junction_1_R
279,0.0908522823875805,Area_TemporoParietoOccipital_Junction_2_R
280,0.120052881654873,Area_TemporoParietoOccipital_Junction_3_R
281,0.0349799677200003,Lateral_Area_7A_R
282,0.0390320901422899,Medial_Area_7A_R
283,0.0295848694223281,Area_7PC_R
284,0.0131581633109005,Lateral_Area_7P_R
285,0.0683985081938664,Medial_Area_7P_R
286,0.160376229672967,Anterior_IntraParietal_Area_R
287,0.148423324017576,Area_Lateral_IntraParietal_dorsal_R
288,0.113850416557985,Area_Lateral_IntraParietal_ventral_R
289,0.0873683739961363,Medial_IntraParietal_Area_R
290,0.0532516168524052,Ventral_IntraParietal_Complex_R
291,0.155265550759769,Area_IntraParietal_0_R
292,0.130836726582464,Area_IntraParietal_1_R
293,0.121519569160436,Area_IntraParietal_2_R
294,-0.0368541608644989,Area_PF_Complex_R
295,-0.0126229143216828,Area_PFm_Complex_R
296,0.0144863073635466,Area_PF_Opercular_R
297,0.0567267066223023,Area_PFt_R
